device,event,n_student_params,run_name,run,loss_type,optimizer,beta,grad_norm,loss,lr,seconds,step,tokens_seen,train_kl_beta,train_loss_temp_xent,update_norm,ce_grad_signal_norm_beta,distill_eval_loss,hard_xent,kernel_effective_rank,kernel_overlap_initial,kernel_overlap_teacher_target,kl_beta,logit_mse,student_teacher_argmax_acc,student_true_acc,teacher_effective_support_beta,teacher_entropy_beta,teacher_fisher_trace_beta,teacher_margin,teacher_top1_conf_beta,teacher_true_acc,train_loss_mse,train_loss_hard_xent,beta_label,condition
cuda,start,76751360.0,xent_beta-1_sgd_seed17,xent_beta-1_sgd_seed17,xent,sgd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,xent beta=1 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.785382766527993,10.886035919189453,1e-05,1.5894882678985596,0.0,2048.0,6.758907794952393,10.886035919189453,1.3635362243766747e-05,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,eval,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,,,,2.441397190093994,0.0,,,,,0.29869478940963745,10.870926856994629,10.878463745117188,4.7236223220825195,1.0000001192082895,0.31774058937994654,6.79638671875,2417641.0,0.0,0.0,197.63819885253906,4.074540138244629,0.8335500955581665,1.2578125,0.19561639428138733,0.1357421875,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.542587217963986,10.875704765319824,0.00011,3.8431551456451416,10.0,22528.0,6.481567859649658,10.875704765319824,0.00014704457768450146,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.721733324568805,10.879108428955078,0.00021,4.16884970664978,20.0,43008.0,6.554588317871094,10.879108428955078,0.00028068831325386585,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.7837893562548315,10.865501403808594,0.00031,4.490549087524414,30.0,63488.0,6.767599582672119,10.865501403808594,0.0004143811789600793,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.757444269381498,10.853385925292969,0.00041,4.813334226608276,40.0,83968.0,6.622788429260254,10.853385925292969,0.000548015812346585,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,9.120923230322095,10.799924850463867,0.00051,5.1582019329071045,50.0,104448.0,7.407906532287598,10.799924850463867,0.0006825099051627777,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,9.418733071293413,10.773908615112305,0.00061,5.4341208934783936,60.0,124928.0,7.445770263671875,10.773908615112305,0.0008162714307151238,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.48528830401764,10.830406188964844,0.00071,5.766644239425659,70.0,145408.0,6.612639427185059,10.830406188964844,0.0009489525890157531,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.6755498764995105,10.796211242675781,0.0008100000000000001,6.098902702331543,80.0,165888.0,6.4109907150268555,10.796211242675781,0.001082316421456143,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.376754955496544,10.790294647216797,0.00091,6.429109334945679,90.0,186368.0,6.61209774017334,10.790294647216797,0.0012158251524465597,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.591965964347205,10.762316703796387,0.001,6.756812334060669,100.0,206848.0,6.613873481750488,10.762316703796387,0.0013361064970156989,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,eval,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,,,,6.763177156448364,100.0,,,,,0.2986847758293152,10.756430625915527,10.748372077941895,,,,6.681890964508057,2417637.0,0.0107421875,0.0068359375,197.63819885253906,4.074540138244629,0.8335500955581665,1.2578125,0.19561639428138733,0.1357421875,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.330267236984313,10.745211601257324,0.000999938487246611,7.088233709335327,110.0,227328.0,6.578614711761475,10.745211601257324,0.001335687258402574,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.985857679412931,10.74009895324707,0.0009997539658034168,7.413024663925171,120.0,247808.0,6.497974872589111,10.74009895324707,0.0013349026723982202,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.959383290026155,10.707860946655273,0.0009994464861167371,7.734321117401123,130.0,268288.0,6.424388885498047,10.707860946655273,0.001334459205707072,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,4.033004056977061,10.683218002319336,0.0009990161322484487,8.060944080352783,140.0,288768.0,6.628457069396973,10.683218002319336,0.0013337351425312014,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.5914716987911044,10.687606811523438,0.0009984630218530014,8.399336576461792,150.0,309248.0,6.501123428344727,10.687606811523438,0.0013326976776999214,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.6845210865556712,10.656283378601074,0.0009977873061452552,8.729284048080444,160.0,329728.0,6.419216156005859,10.656283378601074,0.0013316923252268292,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.806809258412633,10.61520004272461,0.0009969891698591372,9.055815696716309,170.0,350208.0,6.385270118713379,10.61520004272461,0.0013298355024515375,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.4452333017448344,10.622276306152344,0.0009960688311971388,9.375828266143799,180.0,370688.0,6.565940856933594,10.622276306152344,0.0013282634801777208,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.608174185678513,10.620250701904297,0.0009950265417706609,9.703683614730835,190.0,391168.0,6.33041524887085,10.620250701904297,0.0013271092573251075,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.1604137797347325,10.591352462768555,0.0009938625865312252,10.01528811454773,200.0,411648.0,6.598442077636719,10.591352462768555,0.0013246624693354753,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,eval,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,,,,10.021621465682983,200.0,,,,,0.29865485429763794,10.576929092407227,10.532724380493164,3.8595476150512695,0.990837335585557,0.29145175218553004,6.502388954162598,2417630.5,0.02734375,0.0322265625,197.63819885253906,4.074540138244629,0.8335500955581665,1.2578125,0.19561639428138733,0.1357421875,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.0616927615342084,10.588379859924316,0.000992577283692572,11.362676620483398,210.0,432128.0,6.423793315887451,10.588379859924316,0.001322859017981885,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.2112564686273113,10.545512199401855,0.0009911709846436641,11.687217712402344,220.0,452608.0,6.394091606140137,10.545512199401855,0.0013203291373393067,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.7337373250348342,10.635611534118652,0.0009896440738526198,12.007157325744629,230.0,473088.0,6.166377067565918,10.635611534118652,0.0013189895762091945,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.7706880554564215,10.556220054626465,0.0009879969687616025,12.325934410095215,240.0,493568.0,6.407466888427734,10.556220054626465,0.001314850433254343,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.7444718855604973,10.525251388549805,0.0009862301196726987,12.658504486083984,250.0,514048.0,6.373714447021484,10.525251388549805,0.0013117087476282256,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.734405129964305,10.522343635559082,0.0009843440096248069,12.993046045303345,260.0,534528.0,6.480167865753174,10.522343635559082,0.0013095100404710576,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.4426765462782543,10.532739639282227,0.0009823391542615816,13.32972240447998,270.0,555008.0,6.247125148773193,10.532739639282227,0.0013061645093868732,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.627087691310977,10.468297958374023,0.0009802161016904609,13.65963625907898,280.0,575488.0,6.296855449676514,10.468297958374023,0.0013023360947429113,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.7958861451302703,10.436954498291016,0.0009779754323328191,13.981623649597168,290.0,595968.0,6.3014116287231445,10.436954498291016,0.001298578489172274,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.7459501234396932,10.439886093139648,0.0009756177587652855,14.302758693695068,300.0,616448.0,6.291349411010742,10.439886093139648,0.0012951230246060984,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,eval,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,,,,14.309104919433594,300.0,,,,,0.29861295223236084,10.455116271972656,10.380249977111816,,,,6.380577087402344,2417627.75,0.0244140625,0.0322265625,197.63819885253906,4.074540138244629,0.8335500955581665,1.2578125,0.19561639428138733,0.1357421875,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,6.128723078743721,10.749113082885742,0.0009731437255522725,14.645927906036377,310.0,636928.0,6.452584266662598,10.749113082885742,0.0012988438331013382,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.7425012658793193,10.586446762084961,0.0009705540090697574,14.973591089248657,320.0,657408.0,6.649334907531738,10.586446762084961,0.0012911879371420268,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.2734966966040817,10.446880340576172,0.0009678493173203682,15.292198419570923,330.0,677888.0,6.287473201751709,10.446880340576172,0.0012836298315518017,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.1989272034143323,10.453142166137695,0.0009650303897398232,15.620583772659302,340.0,698368.0,6.247710704803467,10.453142166137695,0.0012785753402835252,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.739993749067053,10.43714714050293,0.0009620979969947759,15.944840431213379,350.0,718848.0,6.250876426696777,10.43714714050293,0.0012776260520781398,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.300447817749929,10.407995223999023,0.0009590529407721231,16.270281076431274,360.0,739328.0,6.394357204437256,10.407995223999023,0.0012702527982375329,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,1.9416935174463856,10.477117538452148,0.0009558960535598316,16.596853017807007,370.0,759808.0,6.362574100494385,10.477117538452148,0.0012662372574772727,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.329789868326495,10.369840621948242,0.0009526281984193435,16.91778039932251,380.0,780288.0,6.371457099914551,10.369840621948242,0.0012607430822120507,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.1179226394570696,10.491968154907227,0.0009492502687496253,17.240585327148438,390.0,800768.0,5.931468963623047,10.491968154907227,0.001257967052183216,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.0152007032798425,10.414012908935547,0.0009457631880429201,17.554909706115723,400.0,821248.0,6.074141502380371,10.414012908935547,0.0012512325666063791,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,eval,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,,,,17.56140971183777,400.0,,,,,0.29856160283088684,10.368440628051758,10.2714262008667,3.573362350463867,0.982639252103732,0.28267450825391804,6.2938995361328125,2417626.5,0.0244140625,0.0322265625,197.63819885253906,4.074540138244629,0.8335500955581665,1.2578125,0.19561639428138733,0.1357421875,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.266024920555408,10.347529411315918,0.0009421679096322747,18.90204358100891,410.0,841728.0,6.155218124389648,10.347529411315918,0.0012459326332060882,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.8403446701007153,10.338186264038086,0.0009384654164309083,19.228289127349854,420.0,862208.0,6.329591751098633,10.338186264038086,0.001242745989703075,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,1.9313033086942228,10.388450622558594,0.0009346567206634926,19.54912257194519,430.0,882688.0,6.260435104370117,10.388450622558594,0.0012350704123233367,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,1.9397880376940806,10.385040283203125,0.0009307428635894209,19.871784687042236,440.0,903168.0,6.216687202453613,10.385040283203125,0.0012295526760323046,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,1.942351289682929,10.334444046020508,0.0009267249152181378,20.19415783882141,450.0,923648.0,6.06873893737793,10.334444046020508,0.0012227467850159715,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.01025707389088,10.295510292053223,0.000922603974016609,20.5184907913208,460.0,944128.0,6.041959762573242,10.295510292053223,0.0012163209415102592,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,1.8748731240041019,10.32337760925293,0.0009183811666090118,20.841906309127808,470.0,964608.0,6.0944504737854,10.32337760925293,0.0012099769905069275,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,1.8936742229632793,10.373771667480469,0.0009140576474687263,21.163238525390625,480.0,985088.0,6.10224723815918,10.373771667480469,0.001206200053178921,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.042756190779319,10.322334289550781,0.0009096345986027161,21.486594676971436,490.0,1005568.0,6.212039947509766,10.322334289550781,0.0012009240176563028,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,1.903740105485865,10.310989379882812,0.0009051132292283771,21.818095922470093,500.0,1026048.0,6.23963737487793,10.310989379882812,0.0011926588162452817,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,eval,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,,,,21.8250412940979,500.0,,,,,0.29849883913993835,10.29509162902832,10.17767333984375,,,,6.22055196762085,2417626.25,0.0244140625,0.0322265625,197.63819885253906,4.074540138244629,0.8335500955581665,1.2578125,0.19561639428138733,0.1357421875,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.253723440081538,10.386484146118164,0.0009004947754429507,22.17167091369629,510.0,1046528.0,5.978304862976074,10.386484146118164,0.0011918293615080643,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.5855258536588686,10.660648345947266,0.0008957804998855866,22.53424382209778,520.0,1067008.0,6.478137016296387,10.660648345947266,0.0011897629780826095,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,3.3494265440239768,10.695281982421875,0.0008909716913921507,22.807698011398315,530.0,1087488.0,7.5760722160339355,10.695281982421875,0.0011833116546808718,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,1.7371590028316157,10.398650169372559,0.0008860696646428693,23.118127822875977,540.0,1107968.0,5.926115989685059,10.398650169372559,0.0011694021730381992,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,2.0162095989406317,10.284360885620117,0.0008810757598029093,23.455019235610962,550.0,1128448.0,6.398366928100586,10.284360885620117,0.0011606011728251108,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,1.942783749281616,10.30392837524414,0.0008759913421559901,23.779722213745117,560.0,1148928.0,6.131417274475098,10.30392837524414,0.0011549945400061014,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
,train,,,xent_beta-1_sgd_seed17,xent,sgd,1.0,1.8379051809252887,10.269442558288574,0.0008708178017311287,24.10456943511963,570.0,1169408.0,6.178152084350586,10.269442558288574,0.001145395761942284,,,,,,,,,,,,,,,,,,,1.0,xent beta=1.0 sgd
