device,event,n_student_params,run_name,teacher_cache_dir,teacher_cache_load_workers,teacher_cache_mode,teacher_cache_prefetch,run,loss_type,optimizer,beta,grad_norm,loss,lr,seconds,step,tokens_seen,train_loss_hard_teacher_margin,update_norm,ce_grad_signal_norm_beta,centered_logit_mse,distill_eval_loss,hard_teacher_margin,hard_teacher_xent,hard_xent,kernel_effective_rank,kernel_overlap_initial,kernel_overlap_teacher_target,kl_beta_prime_1,log_softmax_mse,logit_mse,student_effective_support_beta,student_entropy_beta,student_entropy_beta_prime_1,student_fisher_trace_beta,student_fisher_trace_beta_prime_1,student_teacher_argmax_acc,student_top1_conf_beta,student_true_acc,teacher_effective_support_beta,teacher_entropy_beta,teacher_entropy_beta_prime_1,teacher_fisher_trace_beta,teacher_margin,teacher_top1_conf_beta,teacher_true_acc,xent_beta_prime_1,path,train_kl_beta,train_loss_temp_xent,train_loss_temp_xent_unscaled,distill_eval_loss_unscaled,kl_beta,train_loss_centered_logit_mse,train_loss_raw_logit_mse,beta_label,condition
cuda,start,76751360.0,xent_beta-inf_adamw_seed17,/n/netscratch/pehlevan_lab/Lab/sab/teacher_logit_cache/eleutherai-pythia-70m-deduped_allenai-c4_seed17_bs16_seq128_bf16_f440db3ba4861202,4.0,readwrite,8.0,xent_beta-inf_adamw_seed17,xent,adamw,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,24.01662649963757,1.313491702079773,1e-05,1.542065143585205,0.0,2048.0,1.313491702079773,0.04202324986414457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,eval,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,,,,2.2245099544525146,0.0,,,,1.3852112293243408,10769.873046875,0.9881327152252197,0.9881327152252197,10.504898071289062,10.85193157196045,4.755634784698486,0.9997635483590827,0.969711244105323,6.728723526000977,11037.462890625,2417633.75,1.0,0.0,10.774642944335938,0.0,0.9999779462814331,0.0205078125,1.0,0.001953125,1.0,0.0,4.11316442489624,0.0,1.2421875,1.0,0.14453125,10.841888427734375,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,29.547327451324747,0.4917451739311218,0.00011,4.856121063232422,10.0,22528.0,0.4917451739311218,0.13023107354599514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,19.336765073722617,0.4193715453147888,0.00021,5.501806735992432,20.0,43008.0,0.4193715453147888,0.15664078372047865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,16.063492581357483,0.4585872292518616,0.00031,6.65664005279541,30.0,63488.0,0.4585872292518616,0.19320827279162364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,18.838997340439924,0.4194480776786804,0.00041,7.601987361907959,40.0,83968.0,0.4194480776786804,0.22010144455071642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,20.0277515092498,0.5790733695030212,0.00051,9.442570447921753,50.0,104448.0,0.5790733695030212,0.26726403773097274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,19.987688986997004,0.5512208342552185,0.00061,11.01671552658081,60.0,124928.0,0.5512208342552185,0.2917159446540791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,20.77063456677276,0.769026517868042,0.00071,12.394618034362793,70.0,145408.0,0.769026517868042,0.3272352574003479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,16.16480152011202,0.6330069303512573,0.0008100000000000001,13.620625734329224,80.0,165888.0,0.6330069303512573,0.4298820454614085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,20.94706089892721,0.6906790733337402,0.00091,15.720063924789429,90.0,186368.0,0.6906790733337402,0.6356485230016601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,19.045306184323287,0.5099670886993408,0.001,16.66711950302124,100.0,206848.0,0.5099670886993408,0.7692420163492881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,eval,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,,,,16.669453382492065,100.0,,,,0.9487935900688171,10769.6630859375,0.5681873559951782,0.5681873559951782,9.590497970581055,10.401808738708496,,,,6.366193771362305,11037.0205078125,2417580.75,1.0,0.0,10.765506744384766,0.0,0.9999774694442749,0.3291015625,1.0,0.037109375,1.0,0.0,4.11316442489624,0.0,1.2421875,1.0,0.14453125,10.479357719421387,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,16.3678254964461,0.4603111147880554,0.000999938487246611,18.115466594696045,110.0,227328.0,0.4603111147880554,0.7305332027978626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,19.195448624705957,0.497152715921402,0.0009997539658034168,19.729740381240845,120.0,247808.0,0.497152715921402,0.6700366165249003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,18.46262184045379,0.5772567391395569,0.0009994464861167371,21.31485104560852,130.0,268288.0,0.5772567391395569,0.6197350896048823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,23.68053812666009,0.602186918258667,0.0009990161322484487,22.654810190200806,140.0,288768.0,0.602186918258667,0.6426681508970626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,19.649485102506947,0.8215294480323792,0.0009984630218530014,23.858806133270264,150.0,309248.0,0.8215294480323792,0.6243873011090988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,22.806111691176476,0.6286548376083374,0.0009977873061452552,25.325705766677856,160.0,329728.0,0.6286548376083374,0.6295231312542393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,18.36680074090282,0.5272244215011597,0.0009969891698591372,27.214475631713867,170.0,350208.0,0.5272244215011597,0.5458373702559738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,12.709757187260825,0.4462076425552368,0.0009960688311971388,28.68794894218445,180.0,370688.0,0.4462076425552368,0.5819019248744485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,8.787945420213196,0.43083733320236206,0.0009950265417706609,30.509049654006958,190.0,391168.0,0.43083733320236206,0.6749500367160931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,13.709871445431654,0.5369856357574463,0.0009938625865312252,31.974904537200928,200.0,411648.0,0.5369856357574463,0.5932685759491879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
