run,condition,loss_type,optimizer,beta,lr,eval_step,done,has_final,kl_beta_prime_1,centered_logit_mse,logit_mse,log_softmax_mse,distill_eval_loss,student_teacher_argmax_acc,student_true_acc,hard_xent,grad_norm,update_norm,latest_train_step
lr500_mse_beta-1_adamw_lr-0p0001_seed17,MSE centered logits,mse,adamw,1,0.0001,499,True,True,6.690217018127441,10527.119140625,2396047.75,10789.2900390625,10.803380966186523,0.0,0.0,10.821011543273926,23.621078741905553,0.025764722051116143,490
lr500_mse_beta-1_adamw_lr-0p0003_seed17,MSE centered logits,mse,adamw,1,0.0003,499,True,True,6.654239654541016,10031.8154296875,2349896.25,10285.89453125,10.767404556274414,0.0,0.0,10.816715240478516,36.577954637061985,0.07670923056959321,490
lr500_mse_beta-1_adamw_lr-0p001_seed17,MSE centered logits,mse,adamw,1,0.001,499,True,True,6.399025917053223,8119.802734375,2163967.25,8344.3046875,10.512189865112305,0.0,0.0,10.68043327331543,87.4460130007566,0.2542006754178861,490
lr500_mse_beta-1_adamw_lr-0p003_seed17,MSE centered logits,mse,adamw,1,0.003,499,True,True,4.919885635375977,2298.581787109375,1464752.875,2407.470703125,9.033050537109375,0.3330078125,0.037109375,9.567920684814453,128.75861995180475,0.732803003063243,490
lr500_mse_beta-1_adamw_lr-0p01_seed17,MSE centered logits,mse,adamw,1,0.01,499,True,True,4.7742791175842285,10.93804931640625,929390.875,29.5211238861084,8.887443542480469,0.3193359375,0.037109375,9.720069885253906,1.104003224582756,1.0276956110195288,490
lr500_xent_beta-0p5_adamw_lr-0p0001_seed17,XENT beta=0.5,xent,adamw,0.5,0.0001,499,True,True,3.608135223388672,10714.93359375,2423861.0,10908.0888671875,20.059783935546875,0.25390625,0.087890625,7.380935192108154,0.2938801963218605,0.01718936194624495,490
lr500_xent_beta-0p5_adamw_lr-0p0003_seed17,XENT beta=0.5,xent,adamw,0.5,0.0003,499,True,True,3.4616973400115967,10651.4921875,2425490.0,10814.3583984375,19.838476181030273,0.1845703125,0.0927734375,7.113534927368164,0.34892723236082807,0.04719928841653015,490
lr500_xent_beta-0p5_adamw_lr-0p001_seed17,XENT beta=0.5,xent,adamw,0.5,0.001,499,True,True,3.322984218597412,10566.85546875,2426423.0,10719.6923828125,19.757577896118164,0.1875,0.1015625,6.967963218688965,0.1516258560165211,0.13474647240504262,490
lr500_xent_beta-0p5_adamw_lr-0p003_seed17,XENT beta=0.5,xent,adamw,0.5,0.003,499,True,True,3.559657096862793,10531.537109375,2426065.25,10685.05859375,19.86043930053711,0.1611328125,0.0888671875,7.225902080535889,0.17039755586785396,0.39128437942002325,490
lr500_xent_beta-0p5_adamw_lr-0p01_seed17,XENT beta=0.5,xent,adamw,0.5,0.01,499,True,True,3.8577382564544678,10527.013671875,2426461.25,10683.0302734375,19.98894500732422,0.232421875,0.076171875,7.591184616088867,0.32023646962136243,1.1006097644806228,490
lr500_xent_beta-100_adamw_lr-0p0001_seed17,XENT beta=100,xent,adamw,100,0.0001,499,True,True,6.618499755859375,10761.3896484375,2416105.0,11030.3037109375,0.07277384400367737,0.2568359375,0.1201171875,10.72895622253418,0.6737995168797878,0.010025912324015104,490
lr500_xent_beta-100_adamw_lr-0p0003_seed17,XENT beta=100,xent,adamw,100,0.0003,499,True,True,6.604219436645508,10756.5537109375,2415195.0,11025.2646484375,0.06854259967803955,0.2724609375,0.1318359375,10.714961051940918,0.5859193625520472,0.030558589790730603,490
lr500_xent_beta-100_adamw_lr-0p001_seed17,XENT beta=100,xent,adamw,100,0.001,499,True,True,6.617419719696045,10762.046875,2416226.75,11031.0048828125,0.07556729763746262,0.2763671875,0.0927734375,10.723909378051758,0.7324533856630716,0.075061418884658,490
lr500_xent_beta-100_adamw_lr-0p003_seed17,XENT beta=100,xent,adamw,100,0.003,499,True,True,6.5698041915893555,10752.93359375,2414685.25,11019.623046875,0.2277810275554657,0.0439453125,0.021484375,10.668505668640137,6.45381177201145,0.24620789666464918,490
lr500_xent_beta-100_adamw_lr-0p01_seed17,XENT beta=100,xent,adamw,100,0.01,499,True,True,6.660377502441406,10769.21484375,2417652.0,11038.4697265625,0.07586952298879623,0.0703125,0.0478515625,10.770153045654297,0.5938368773277761,0.6150723169110341,490
